first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,can_select,chance_of_playing_next_round,points_per_game,penalties_saved,form,expected_goal_involvements,Predicted Points
Joe,Worrall,0,0,0,0,0,0.0,0.0,0,0,69.0,0.0,0,0,0,0.0,45,DEF,0,0.0,0.0,0,0.0,0.0,0.7578843
Ryan,Yates,2,1,53,1537,20,203.0,256.6,240,3,0.0,70.2,5,0,8,0.1,48,MID,1,100.0,2.0,0,1.8,2.67,41.11519
Nikola,Milenković,4,2,120,2520,34,72.8,603.4,303,2,0.0,97.7,12,0,4,10.0,49,DEF,1,,4.3,0,6.8,4.21,112.43418
João Pedro,Ferreira Silva,2,2,42,708,16,170.6,176.6,171,0,22.0,52.0,1,0,4,0.1,59,MID,1,100.0,1.7,0,1.5,3.37,44.00586
Ramón,Sosa,1,0,20,229,5,88.0,77.2,94,0,61.0,25.8,1,0,1,0.1,55,MID,1,,1.4,0,0.0,1.34,5.4901547
Felipe,Rodrigues da Silva,0,0,34,616,8,5.2,164.2,5,2,0.0,17.6,3,0,1,0.1,45,DEF,1,,1.7,0,0.2,0.12,21.202852
Zach,Abbott,0,0,0,0,0,0.0,0.0,0,0,32.0,0.0,0,0,0,0.0,40,DEF,1,,0.0,0,0.0,0.0,0.7578843
Wayne,Hennessey,0,0,0,0,0,0.0,0.0,0,0,56.0,0.0,0,0,0,0.0,40,GK,1,,0.0,0,0.0,0.0,0.7578843
Nuno Herlander,Simões Espírito Santo,0,0,43,0,0,0.0,0.0,0,0,40.0,0.0,0,0,0,6.7,11,AM,1,,0.0,0,6.8,0.0,36.58671
Aaron,Ramsdale,0,0,57,1890,50,0.0,673.0,0,5,39.0,67.4,2,0,2,1.2,44,GK,1,100.0,2.7,0,1.5,0.03,59.31779
Cameron,Archer,2,0,46,1166,28,63.5,102.6,311,4,5.0,47.5,1,0,0,1.3,49,FWD,1,,1.8,0,1.2,5.42,30.997438
Lesley,Ugochukwu,0,1,26,1022,28,149.2,167.4,40,0,117.0,35.6,0,0,4,0.3,44,MID,1,100.0,1.4,0,1.2,0.79,21.288895
Ryan,Fraser,0,0,7,303,12,26.8,35.8,13,0,16.0,6.7,0,1,0,0.0,48,MID,1,50.0,0.9,0,0.0,0.12,2.3072026
Samuel,Amo-Ameyaw,0,0,1,26,0,16.1,4.0,6,0,166.0,2.6,0,0,1,0.1,44,MID,0,0.0,0.5,0,0.0,0.15,1.139232
Joe,Aribo,3,0,67,1821,51,275.2,355.4,235,7,46.0,86.8,1,0,1,0.1,49,MID,1,,2.4,0,1.8,3.87,47.81588
Adam,Armstrong,2,3,45,1246,35,143.7,154.4,262,2,12.0,56.0,2,0,4,0.6,51,FWD,0,0.0,2.2,0,0.0,3.84,27.40109
Gavin,Bazunu,0,0,0,0,0,0.0,0.0,0,0,214.0,0.0,0,0,0,0.1,43,GK,0,0.0,0.0,0,0.0,0.0,0.7578843
Jan,Bednarek,2,0,47,1901,45,63.6,599.6,67,2,43.0,72.9,2,0,5,2.4,40,DEF,1,100.0,2.0,0,0.5,1.43,31.307333
Armel,Bella-Kotchap,0,0,2,329,13,2.3,64.6,4,0,169.0,7.0,0,0,0,0.4,39,DEF,1,,0.5,0,0.5,0.33,9.741948
James,Bree,0,1,15,886,28,152.1,167.4,41,0,282.0,36.0,0,0,0,0.4,39,DEF,1,0.0,1.1,0,0.0,0.78,9.626573
Shea,Charles,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,45,MID,0,0.0,0.0,0,0.0,0.0,0.7578843
Samuel,Edozie,0,0,1,64,0,19.0,9.8,22,0,0.0,5.1,0,0,1,0.0,49,MID,0,0.0,0.5,0,0.0,0.15,1.139232
Ronnie,Edwards,0,0,1,12,1,0.1,5.0,0,0,0.0,0.5,0,0,0,0.2,39,DEF,0,0.0,1.0,0,0.0,0.0,1.4202721
Taylor,Harwood-Bellis,1,0,42,2119,51,171.7,570.2,215,2,0.0,95.9,2,0,7,5.6,40,DEF,1,100.0,1.6,0,0.8,2.25,25.899187
Kamaldeen,Sulemana,1,1,33,734,26,105.6,107.4,158,2,0.0,36.9,0,0,0,0.0,50,MID,1,100.0,1.9,0,2.0,1.19,37.870907
Adam,Lallana,0,2,17,352,8,82.4,81.2,21,1,325.0,18.4,0,0,4,0.0,50,MID,1,100.0,1.2,0,0.2,0.63,15.259833
Juan,Larios López,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.1,39,DEF,1,50.0,0.0,0,0.0,0.0,0.7578843
Mateusz,Lis,0,0,0,0,0,0.0,0.0,0,0,7.0,0.0,0,0,0,0.1,40,GK,0,0.0,0.0,0,0.0,0.0,0.7578843
Joe,Lumley,0,0,8,270,7,0.0,102.2,0,0,150.0,10.2,0,0,0,0.5,40,GK,1,,2.7,0,0.0,0.0,30.501934
Ryan,Manning,0,1,18,968,26,314.7,209.4,56,0,122.0,57.9,0,0,2,0.1,43,DEF,1,,1.1,0,0.5,2.36,18.22929
Sékou,Mara,0,0,0,0,0,0.0,0.0,0,0,192.0,0.0,0,0,0,0.0,50,FWD,0,0.0,0.0,0,0.0,0.0,0.7578843
Alex,McCarthy,0,0,12,450,13,0.0,166.4,0,0,0.0,16.7,0,0,0,0.1,42,GK,1,,2.4,0,0.0,0.0,29.405281
Paul,Onuachu,3,1,39,755,23,115.6,172.8,377,3,61.0,66.1,0,0,3,0.3,49,FWD,1,100.0,2.1,0,2.0,3.08,47.951767
Will,Smallbone,1,0,20,549,17,140.8,95.4,51,0,0.0,28.7,0,0,1,0.0,50,MID,1,0.0,1.7,0,2.5,1.15,42.84382
Jack,Stephens,0,0,12,804,20,51.6,127.4,17,2,96.0,19.6,1,2,2,0.4,40,DEF,1,100.0,1.0,0,0.2,0.48,7.4331255
Ross,Stewart,0,0,3,130,2,6.7,5.8,9,0,0.0,2.1,0,0,1,1.7,44,FWD,1,50.0,0.8,0,0.0,0.19,-0.21296355
Sugawara,Yukinari,1,1,39,1432,41,286.8,276.8,116,0,64.0,67.8,2,0,4,0.2,42,DEF,1,100.0,1.5,0,0.5,2.88,17.347948
Charlie,Taylor,0,0,5,263,10,26.5,72.6,2,0,141.0,10.2,0,0,1,3.9,39,DEF,1,,0.7,0,0.0,0.1,1.0821435
Kyle,Walker-Peters,0,2,43,2378,65,346.4,414.0,190,3,0.0,94.7,2,0,5,0.3,43,DEF,1,100.0,1.6,0,0.5,2.63,20.445303
Nathan,Wood-Gordon,0,0,13,622,16,19.4,94.8,14,2,300.0,13.0,1,0,2,1.1,40,DEF,1,100.0,1.4,0,0.0,0.27,5.4901547
Maxwel,Cornet,0,0,1,71,4,3.5,11.6,7,0,367.0,2.2,0,0,1,0.0,47,MID,0,0.0,0.5,0,0.0,0.16,1.139232
Flynn,Downes,1,0,35,1520,40,233.6,204.0,109,0,0.0,54.9,2,0,9,0.0,47,MID,1,100.0,1.8,0,0.8,1.76,29.255331
Ben,Brereton Díaz,0,0,13,446,10,63.6,21.8,81,0,450.0,16.8,0,0,1,0.1,48,MID,0,0.0,1.3,0,0.0,1.05,6.6712227
Tyler,Dibling,2,2,56,1533,41,301.7,238.8,254,4,328.0,79.4,2,0,6,1.6,44,MID,1,100.0,2.2,0,2.5,3.78,55.054882
Mateus Gonçalo,Espanha Fernandes,1,2,61,2142,52,491.1,361.8,299,2,17.0,115.4,4,0,7,0.1,50,MID,1,100.0,2.3,0,1.8,5.86,41.45113
Joseph,O'Brien-Whitmarsh,0,0,0,0,0,0.0,0.0,0,0,86.0,0.0,0,0,0,0.0,45,MID,0,0.0,0.0,0,0.0,0.0,0.7578843
Welington Damascena,Santos,0,0,3,171,4,40.6,53.8,5,0,185.0,9.9,0,0,1,0.0,40,DEF,1,,0.8,0,0.5,0.15,8.38975
Joachim,Kayi-Sanda,0,0,0,0,0,0.0,0.0,0,0,247.0,0.0,0,0,0,0.0,40,DEF,1,,0.0,0,0.0,0.0,0.7578843
Albert,Grønbæk,0,0,6,141,3,11.4,15.8,9,0,0.0,3.7,0,0,0,0.0,49,MID,1,,1.5,0,1.0,0.13,28.135546
Ivan,Juric,0,0,12,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.1,5,AM,1,,0.0,0,0.5,0.0,9.3606
Dominic,Solanke-Mitchell,7,5,87,1778,33,182.8,413.2,639,6,407.0,122.5,3,0,0,4.7,73,FWD,1,100.0,4.3,0,1.0,10.25,95.99567
Ashley,Phillips,0,0,0,0,0,0.0,0.0,0,0,79.0,0.0,0,0,0,0.2,40,DEF,0,0.0,0.0,0,0.0,0.0,0.7578843
Brandon,Austin,0,0,1,90,2,0.0,20.0,0,0,204.0,2.0,0,0,0,0.5,40,GK,1,,1.0,0,0.0,0.0,1.4202721
Rodrigo,Bentancur,2,0,41,1243,18,179.3,258.2,157,1,128.0,59.7,3,0,7,0.1,49,MID,1,100.0,2.2,0,1.5,2.18,56.216923
Lucas,Bergvall,0,2,35,924,17,171.5,199.6,67,0,0.0,43.8,2,0,3,1.1,44,MID,1,100.0,1.6,0,2.2,1.18,34.83077
Yves,Bissouma,2,0,44,1136,19,116.7,239.8,51,4,185.0,41.0,3,0,6,0.2,48,MID,1,100.0,2.0,0,0.5,1.04,31.307333
Bryan,Gil Salvatierra,0,0,0,0,0,0.0,0.0,0,0,117.0,0.0,0,0,0,0.0,50,MID,0,0.0,0.0,0,0.0,0.0,0.7578843
Ben,Davies,0,0,24,720,9,21.2,209.2,36,0,0.0,26.8,3,0,2,0.2,43,DEF,1,100.0,2.7,0,0.2,0.38,36.514774
Alfie,Devine,0,0,0,0,0,0.0,0.0,0,0,7.0,0.0,0,0,0,0.0,45,MID,0,0.0,0.0,0,0.0,0.0,0.7578843
Radu,Drăgușin,0,0,24,1250,29,58.1,256.4,47,0,35.0,36.2,2,0,1,0.2,43,DEF,1,0.0,1.5,0,0.0,0.29,8.7452345
Emerson,Leite de Souza Junior,0,0,0,0,0,0.0,0.0,0,0,12.0,0.0,0,0,0,0.0,45,DEF,0,0.0,0.0,0,0.0,0.0,0.7578843
Fraser,Forster,0,0,19,630,15,0.0,221.0,0,0,0.0,22.2,1,0,0,0.4,43,GK,1,,2.7,0,0.0,0.0,30.501934
Archie,Gray,0,0,34,1245,24,45.9,211.2,11,0,0.0,26.9,2,0,0,0.2,46,MID,1,100.0,1.6,0,1.5,0.19,40.658466
Pierre-Emile,Højbjerg,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,50,MID,0,0.0,0.0,0,0.0,0.0,0.7578843
Brennan,Johnson,9,4,108,1759,24,234.5,454.8,694,10,4.0,137.7,2,0,4,2.3,62,MID,1,100.0,4.2,0,4.5,10.98,102.82004
Dejan,Kulusevski,7,4,110,2152,35,813.1,584.0,685,9,0.0,208.0,6,0,3,2.9,62,MID,1,50.0,4.1,0,2.5,7.87,101.63245
Giovani,Lo Celso,0,0,0,0,0,0.0,0.0,0,0,26.0,0.0,0,0,0,0.0,49,MID,0,0.0,0.0,0,0.0,0.0,0.7578843
James,Maddison,9,6,118,1514,25,593.1,618.6,476,14,0.0,168.5,5,0,6,4.7,74,MID,1,100.0,4.4,0,1.5,10.88,89.422005
Pedro,Porro,2,5,93,2277,38,744.2,673.0,187,5,0.0,160.6,6,0,2,19.4,53,DEF,1,100.0,3.3,0,1.0,5.15,71.249916
Sergio,Reguilón,0,0,1,121,1,20.2,20.8,11,0,0.0,5.2,0,0,2,0.2,41,DEF,1,,0.3,0,0.0,0.31,1.2884932
Richarlison,de Andrade,2,1,20,275,2,54.8,119.8,116,0,255.0,29.0,1,0,1,0.3,68,FWD,1,50.0,2.2,0,0.0,1.75,27.40109
Cristian,Romero,1,0,44,1101,14,96.6,275.8,159,3,161.0,53.4,3,0,1,3.4,49,DEF,1,100.0,3.1,0,2.2,1.81,61.10452
Pape Matar,Sarr,3,2,60,1386,28,230.3,348.0,173,4,111.0,74.8,2,0,5,0.2,47,MID,1,100.0,2.2,0,2.5,3.73,55.054882
Dane,Scarlett,0,1,6,31,1,11.0,24.4,17,0,85.0,5.2,0,0,0,0.8,44,FWD,1,100.0,2.0,0,1.2,0.04,38.503304
Manor,Solomon,0,0,0,0,0,0.0,0.0,0,0,349.0,0.0,0,0,0,0.0,54,MID,0,0.0,0.0,0,0.0,0.0,0.7578843
Son,Heung-min,7,10,123,1855,32,709.4,616.8,633,12,51.0,196.0,4,0,1,5.6,97,MID,1,100.0,4.7,0,4.0,11.35,118.6409
Djed,Spence,1,1,42,1063,19,170.7,297.8,62,6,29.0,53.1,3,1,1,1.1,44,DEF,1,100.0,2.6,0,2.8,1.22,59.588593
Destiny,Udogie,0,1,43,1653,25,231.5,315.6,124,0,0.0,67.3,2,0,2,1.4,48,DEF,1,100.0,2.0,0,1.5,1.45,51.52046
Micky,van de Ven,0,2,29,817,12,36.7,168.6,40,2,154.0,24.6,2,0,4,2.4,45,DEF,1,100.0,2.9,0,0.2,1.04,39.015636
Alejo,Véliz,0,0,0,0,0,0.0,0.0,0,0,132.0,0.0,0,0,0,0.0,50,FWD,0,0.0,0.0,0,0.0,0.0,0.7578843
Guglielmo,Vicario,0,0,56,1530,19,0.0,443.4,0,2,0.0,44.2,4,0,1,1.8,48,GK,1,100.0,3.3,0,2.5,0.0,79.51346
Timo,Werner,0,3,34,504,12,148.0,114.6,113,2,105.0,37.1,1,0,0,0.1,62,MID,1,100.0,1.9,0,0.2,2.59,21.472694
Alfie,Whiteman,0,0,0,0,0,0.0,0.0,0,0,207.0,0.0,0,0,0,1.5,39,GK,1,,0.0,0,0.0,0.0,0.7578843
Will,Lankshear,0,0,3,10,0,0.0,0.0,0,0,219.0,0.0,0,0,0,1.1,45,FWD,0,0.0,1.0,0,0.0,0.0,1.4202721
Mikey,Moore,0,2,14,180,1,42.7,23.4,30,0,19.0,9.4,0,0,0,0.2,45,MID,1,100.0,2.0,0,0.0,0.75,22.70462
Wilson,Odobert,0,0,13,348,6,55.7,22.2,94,0,262.0,17.1,1,0,0,0.0,53,MID,1,100.0,1.6,0,1.5,0.85,40.658466
Callum,Olusesi,0,0,0,0,0,0.0,0.0,0,0,159.0,0.0,0,0,0,0.0,45,MID,1,,0.0,0,0.0,0.0,0.7578843
Malachi,Hardy,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,40,DEF,1,,0.0,0,0.0,0.0,0.7578843
Luca,Williams-Barnett,0,0,0,0,0,0.0,0.0,0,0,264.0,0.0,0,0,0,0.0,45,MID,0,0.0,0.0,0,0.0,0.0,0.7578843
Alfie,Dorrington,0,0,1,13,0,0.2,1.0,0,0,0.0,0.1,0,0,0,0.0,40,DEF,0,0.0,1.0,0,0.0,0.0,1.4202721
Maeson,King,0,0,0,0,0,0.0,0.0,0,0,27.0,0.0,0,0,0,0.0,40,DEF,1,,0.0,0,0.0,0.0,0.7578843
Antonín,Kinsky,0,0,12,360,7,10.1,102.6,0,0,129.0,11.2,1,0,0,0.2,43,GK,1,,3.0,0,0.0,0.01,37.121033
Min-Hyeok,Yang,0,0,0,0,0,0.0,0.0,0,0,162.0,0.0,0,0,0,0.0,45,MID,0,0.0,0.0,0,0.0,0.0,0.7578843
Damola,Ajayi,0,0,0,0,0,0.0,0.0,0,0,88.0,0.0,0,0,0,0.0,45,MID,1,,0.0,0,0.0,0.0,0.7578843
Ange,Postecoglou,0,0,40,0,0,0.0,0.0,0,0,108.0,0.0,0,0,0,2.7,11,AM,1,,0.0,0,5.0,0.0,36.678944
Dante,Cassanova,0,0,0,0,0,0.0,0.0,0,0,3.0,0.0,0,0,0,0.0,40,DEF,1,,0.0,0,0.0,0.0,0.7578843
Kevin,Danso,0,0,11,347,4,19.7,91.4,53,0,145.0,16.4,1,0,0,0.0,45,DEF,1,0.0,2.8,0,1.2,0.39,50.064587
Mathys,Tel,0,0,10,304,2,43.3,25.4,98,0,14.0,16.3,2,0,0,0.2,60,MID,1,,2.5,0,1.8,0.89,49.609238
Evan,Ferguson,1,0,25,326,7,64.3,76.8,99,2,0.0,23.7,1,0,0,0.3,55,FWD,1,100.0,1.4,0,1.0,1.48,24.880472
Aaron,Wan-Bissaka,2,3,88,2434,47,394.9,591.4,140,10,8.0,112.7,5,0,1,6.6,45,DEF,1,,3.1,0,5.8,3.04,77.030945
Edson,Álvarez Velázquez,0,1,35,1534,28,190.9,246.4,49,0,0.0,48.7,3,1,6,0.1,50,MID,1,100.0,1.5,0,2.0,1.1,31.156324
Michail,Antonio,1,4,42,834,18,139.5,72.0,194,3,42.0,39.5,4,0,1,0.8,53,FWD,1,0.0,3.0,0,0.0,3.11,37.121033
Alphonse,Areola,0,0,45,1539,29,0.0,425.6,0,0,181.0,42.7,3,0,0,4.5,42,GK,1,100.0,2.5,0,4.5,0.0,61.053455
Jarrod,Bowen,7,8,125,2187,38,612.7,591.6,794,12,0.0,199.5,6,0,1,10.0,76,MID,1,100.0,5.0,0,5.8,11.28,131.39893
Vladimír,Coufal,0,0,18,729,15,104.5,151.0,35,1,120.0,28.7,1,0,2,0.4,41,DEF,1,100.0,1.2,0,0.0,1.06,9.246977
Aaron,Cresswell,0,0,26,538,5,114.1,97.2,5,3,0.0,21.6,2,0,2,2.1,39,DEF,1,100.0,2.0,0,4.2,1.33,45.694042
George,Earthy,0,0,0,0,0,0.0,0.0,0,0,4.0,0.0,0,0,0,0.0,45,MID,0,0.0,0.0,0,0.0,0.0,0.7578843
Emerson,Palmieri dos Santos,2,1,61,1789,38,295.1,381.8,156,2,0.0,83.3,4,0,5,0.6,44,DEF,1,100.0,2.4,0,0.8,3.71,43.461895
Łukasz,Fabiański,0,0,36,1070,20,0.3,362.2,0,2,0.0,36.1,2,0,2,14.6,40,GK,1,100.0,2.8,0,0.0,0.0,34.26587
Wes,Foderingham,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.1,43,GK,1,,0.0,0,0.0,0.0,0.7578843
Danny,Ings,1,3,32,270,4,76.5,97.0,159,4,553.0,33.4,0,0,0,1.2,49,FWD,1,100.0,2.1,0,0.2,2.31,31.553572
Max,Kilman,0,1,66,2538,49,172.2,629.4,136,5,57.0,94.1,5,0,3,1.3,43,DEF,1,100.0,2.3,0,4.5,2.31,52.89535
Mohammed,Kudus,3,2,74,1995,36,413.9,324.2,586,4,140.0,132.3,5,1,0,2.5,62,MID,1,100.0,3.1,0,3.2,7.97,80.63789
Luis Guilherme,Lira dos Santos,0,0,7,50,2,34.6,14.2,6,0,108.0,5.4,0,0,0,0.0,46,MID,1,,1.0,0,0.0,0.15,1.4202721
Lucas,Tolentino Coelho de Lima,4,1,69,1803,39,444.3,339.8,235,5,0.0,101.6,4,0,7,0.9,57,MID,1,100.0,2.8,0,0.8,7.27,48.322495
Konstantinos,Mavropanos,0,0,37,1656,31,62.2,402.8,150,4,0.0,61.6,2,1,2,0.1,43,DEF,1,100.0,1.5,0,1.2,1.64,24.543968
Nayef,Aguerd,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,44,DEF,0,0.0,0.0,0,0.0,0.0,0.7578843
Tomáš,Souček,7,2,101,2081,36,218.4,519.8,495,13,164.0,122.8,6,0,8,1.6,49,MID,1,100.0,3.7,0,6.2,5.99,105.284515
James,Ward-Prowse,0,1,25,810,10,188.7,140.6,48,0,0.0,37.8,3,1,1,0.5,61,MID,1,100.0,1.7,0,2.2,1.84,38.17816
Kurt,Zouma,0,0,0,0,0,0.0,0.0,0,0,110.0,0.0,0,0,0,0.1,44,DEF,0,0.0,0.0,0,0.0,0.0,0.7578843
Andy,Irving,0,0,9,161,4,26.5,37.6,17,0,0.0,8.1,0,0,2,0.0,47,MID,1,,0.9,0,0.2,0.25,8.320052
Crysencio,Summerville,1,1,33,776,20,246.1,156.4,186,2,0.0,58.7,2,0,2,0.3,55,MID,1,0.0,1.7,0,0.0,3.32,15.189999
Guido,Rodríguez,0,0,29,1016,18,62.1,168.6,23,0,277.0,25.5,3,0,5,0.1,48,MID,1,100.0,1.4,0,0.2,0.34,11.503018
Niclas,Füllkrug,2,1,22,366,11,84.8,99.0,113,1,137.0,29.4,1,0,1,0.8,67,FWD,1,50.0,2.4,0,0.0,1.67,29.405281
Jean-Clair,Todibo,0,0,38,1143,22,31.3,239.2,26,1,0.0,29.6,4,0,2,0.3,42,DEF,1,100.0,2.0,0,3.5,0.19,51.76076
Kaelan,Casey,0,0,1,1,0,0.0,2.0,0,0,0.0,0.2,0,0,0,0.2,40,DEF,1,100.0,1.0,0,0.0,0.0,1.4202721
Carlos,Soler,1,1,39,1088,21,209.1,131.2,125,2,252.0,46.5,2,0,5,0.0,50,MID,1,100.0,1.6,0,1.0,2.42,31.232927
Ollie,Scarles,0,0,22,401,4,36.2,71.2,16,2,24.0,12.4,2,0,1,0.2,40,DEF,1,,2.2,0,3.8,0.25,51.09181
Ezra,Mayers,0,0,0,0,0,0.0,0.0,0,0,141.0,0.0,0,0,0,0.0,40,DEF,1,,0.0,0,0.0,0.0,0.7578843
Lewis,Orford,0,0,2,47,1,27.6,6.4,6,0,1.0,4.0,0,0,0,0.0,45,MID,1,,1.0,0,0.0,0.07,1.4202721
Graham,Potter,0,0,43,0,0,0.0,0.0,0,0,9.0,0.0,0,0,0,3.4,5,AM,1,,0.0,0,8.2,0.0,40.785572
Sam,Johnstone,0,0,12,630,17,10.0,193.8,0,0,122.0,20.4,0,0,0,0.3,42,GK,1,100.0,1.7,0,0.0,0.0,15.189999
Rayan,Aït-Nouri,3,5,80,2384,57,392.9,574.6,282,6,95.0,125.1,4,1,4,9.5,48,DEF,1,100.0,2.9,0,2.8,3.74,60.155724
Boubacar,Traoré,0,0,0,0,0,0.0,0.0,0,0,65.0,0.0,0,0,0,0.0,48,MID,1,100.0,0.0,0,0.0,0.0,0.7578843
Jean-Ricner,Bellegarde,2,6,74,1278,24,331.5,297.4,173,5,317.0,79.6,5,0,3,0.4,49,MID,1,,2.7,0,5.2,3.57,74.3733
Daniel,Bentley,0,0,0,0,0,0.0,0.0,0,0,148.0,0.0,0,0,0,1.6,39,GK,1,,0.0,0,0.0,0.0,0.7578843
Francisco Jorge,Tomás Oliveira,0,0,1,6,0,14.3,3.0,2,0,0.0,1.9,0,0,0,0.1,45,MID,0,0.0,1.0,0,0.0,0.05,1.4202721
Tawanda,Chirewa,0,0,0,0,0,0.0,0.0,0,0,235.0,0.0,0,0,0,0.0,45,MID,0,0.0,0.0,0,0.0,0.0,0.7578843
Leon,Chiwome,0,0,0,0,0,0.0,0.0,0,0,32.0,0.0,0,0,0,1.3,45,FWD,1,0.0,0.0,0,0.0,0.0,0.7578843
Luke,Cundle,0,0,0,0,0,0.0,0.0,0,0,3.0,0.0,0,0,0,0.2,45,MID,0,0.0,0.0,0,0.0,0.0,0.7578843
Matheus,Santos Carneiro Da Cunha,13,4,143,2143,49,661.2,776.0,735,33,0.0,217.3,5,0,3,7.2,69,FWD,1,0.0,5.5,0,2.8,11.27,134.24269
Craig,Dawson,0,1,17,969,25,31.3,204.2,55,1,0.0,29.1,1,0,2,0.1,43,DEF,1,100.0,1.1,0,0.0,0.57,9.626573
Matt,Doherty,2,1,53,1607,34,148.6,416.8,125,2,22.0,69.1,4,0,5,0.4,43,DEF,1,100.0,2.4,0,2.5,2.0,57.05911
Tommy,Doyle,0,1,28,474,10,101.7,114.6,34,0,0.0,25.3,0,0,1,0.0,47,MID,1,,1.2,0,1.0,0.9,28.637299
Fábio,Silva,0,0,0,0,0,0.0,0.0,0,0,,0.0,0,0,0,0.1,50,FWD,0,0.0,0.0,0,0.0,0.0,0.7578843
Nathan,Fraser,0,0,0,0,0,0.0,0.0,0,0,,0.0,0,0,0,1.0,45,FWD,0,0.0,0.0,0,0.0,0.0,0.7578843
Enso,González,0,0,0,0,0,0.0,0.0,0,0,,0.0,0,0,0,0.0,44,MID,1,0.0,0.0,0,0.0,0.0,0.7578843
Gonçalo Manuel,Ganchinho Guedes,2,4,55,756,19,167.5,201.0,160,2,,52.6,3,0,1,0.1,53,MID,1,100.0,2.3,0,0.5,2.8,31.643265
Hugo,Bueno López,0,0,0,0,0,0.0,0.0,0,0,,0.0,0,0,0,0.0,45,DEF,0,0.0,0.0,0,0.0,0.0,0.7578843
Hwang,Hee-chan,2,1,34,625,17,71.4,109.8,80,0,,26.0,0,0,0,0.3,61,MID,1,100.0,1.9,0,0.2,1.14,21.472694
Joe,Hodge,0,0,0,0,0,0.0,0.0,0,0,,0.0,0,0,0,0.2,45,MID,0,0.0,0.0,0,0.0,0.0,0.7578843
Ki-Jana,Hoever,0,0,0,0,0,0.0,0.0,0,0,,0.0,0,0,0,0.1,40,DEF,0,0.0,0.0,0,0.0,0.0,0.7578843
João Victor,Gomes da Silva,3,1,70,2249,52,354.3,416.4,183,7,,95.4,3,1,7,0.3,49,MID,1,100.0,2.6,0,2.8,4.69,59.588593
José,Malheiro de Sá,0,0,66,1980,41,20.0,475.0,0,3,,49.5,5,0,1,3.2,43,GK,1,100.0,3.0,1,4.0,0.01,71.55227
Saša,Kalajdžić,0,0,0,0,0,0.0,0.0,0,0,,0.0,0,0,0,0.0,48,FWD,1,0.0,0.0,0,0.0,0.0,0.7578843
Tom,King,0,0,0,0,0,0.0,0.0,0,0,,0.0,0,0,0,1.3,40,GK,1,,0.0,0,0.0,0.0,0.7578843
Mario,Lemina,1,3,47,1363,39,166.7,356.8,120,5,,64.4,1,0,4,0.1,48,MID,0,0.0,2.8,0,0.0,2.17,34.26587
Yerson,Mosquera,0,0,3,441,12,27.3,110.2,21,0,,16.0,0,0,2,0.8,38,DEF,1,0.0,0.6,0,0.0,0.36,3.193791
Nélson,Cabral Semedo,0,4,59,2148,40,297.6,421.8,118,0,,83.9,5,0,7,0.7,45,DEF,1,100.0,2.4,0,3.5,1.95,58.461452
Pedro,Cardoso de Lima,0,0,2,69,2,34.8,23.4,11,0,,6.9,0,0,0,1.3,39,DEF,1,,0.7,0,0.2,0.16,7.094999
Daniel,Castelo Podence,0,0,2,46,2,1.1,3.0,1,0,,0.4,0,0,0,0.0,55,MID,0,0.0,1.0,0,0.0,0.05,1.4202721
Rodrigo,Martins Gomes,1,0,28,560,15,138.3,131.6,80,0,,34.6,1,0,0,0.1,51,MID,1,100.0,1.6,0,0.0,1.01,11.842586
Santiago,Bueno,0,0,41,1520,32,13.4,285.4,80,2,,37.9,4,0,2,0.1,43,DEF,1,100.0,1.9,0,2.2,0.53,38.448
Pablo,Sarabia,1,1,26,557,11,141.2,103.4,134,0,,37.7,1,0,2,0.1,50,MID,1,100.0,1.8,0,1.0,3.46,34.589027
Jørgen,Strand Larsen,9,2,100,2067,46,227.9,433.8,612,11,,127.1,4,0,3,2.7,53,FWD,1,75.0,3.7,0,4.0,7.03,101.05052
Toti António,Gomes,0,1,53,1803,34,96.4,415.2,33,5,,54.5,5,0,4,0.2,43,DEF,1,100.0,2.4,0,2.8,0.59,56.558212
Bastien,Meupiyou,0,0,0,0,0,0.0,0.0,0,0,,0.0,0,0,0,0.2,39,DEF,1,100.0,0.0,0,0.0,0.0,0.7578843
André,Trindade da Costa Neto,0,0,44,1747,37,183.6,274.4,23,1,,48.0,4,0,4,0.0,50,MID,1,100.0,1.8,0,2.2,0.53,38.18688
Carlos Roberto,Forbs Borges,0,0,8,235,9,24.1,25.8,35,0,,8.3,0,0,2,0.0,54,MID,1,100.0,0.9,0,0.0,0.25,2.3072026
Alfie,Pond,0,0,1,1,0,0.0,0.0,0,0,,0.0,0,0,0,0.8,39,DEF,1,,1.0,0,0.0,0.0,1.4202721
