first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,can_select,chance_of_playing_next_round,points_per_game,penalties_saved,form,expected_goal_involvements,Predicted Points
Kyle,Walker,0,0,13,966,21,147.7,157.4,29,0,37.0,33.5,0,0,3,2.6,51,DEF,0,0.0,0.9,0,0.0,1.46,2.3072026
Sávio 'Savinho',Moreira de Oliveira,1,10,91,1561,25,578.7,362.8,597,12,447.0,154.1,6,0,3,2.7,62,MID,1,100.0,3.8,0,2.0,10.07,86.04513
Nico,O'Reilly,0,0,2,21,0,1.1,8.0,2,0,0.0,1.1,0,0,0,0.0,49,MID,1,100.0,1.0,0,0.0,0.03,1.4202721
Ilkay,Gündogan,0,3,55,1528,25,539.4,232.4,178,2,195.0,95.0,4,0,1,0.4,63,MID,1,,2.2,0,2.2,4.77,50.389225
Issa,Kaboré,0,0,0,0,0,0.0,0.0,0,0,235.0,0.0,0,0,0,0.0,45,DEF,0,0.0,0.0,0,0.0,0.0,0.7578843
Jacob,Wright,0,0,0,0,0,0.0,0.0,0,0,130.0,0.0,0,0,0,0.0,45,MID,0,0.0,0.0,0,0.0,0.0,0.7578843
Jahmai,Simpson-Pusey,0,0,1,95,2,2.2,19.6,2,0,62.0,2.4,0,0,1,0.0,40,DEF,1,100.0,0.5,0,0.0,0.01,1.139232
Josh,Wilson-Esbrand,0,0,0,0,0,0.0,0.0,0,0,195.0,0.0,0,0,0,0.0,40,DEF,0,0.0,0.0,0,0.0,0.0,0.7578843
Divin,Mubama,0,0,1,27,0,0.1,0.2,5,0,0.0,0.5,0,0,0,0.1,45,FWD,1,,1.0,0,0.0,0.04,1.4202721
Max,Alleyne,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,40,DEF,1,,0.0,0,0.0,0.0,0.7578843
Spike,Brits,0,0,0,0,0,0.0,0.0,0,0,144.0,0.0,0,0,0,0.0,40,GK,1,,0.0,0,0.0,0.0,0.7578843
Abdukodir,Khusanov,0,0,14,503,6,33.9,102.0,4,0,10.0,14.1,2,0,1,0.6,50,DEF,1,,2.3,0,2.0,0.11,45.451607
Vitor,de Oliveira Nunes dos Reis,0,0,0,0,0,0.0,0.0,0,0,111.0,0.0,0,0,0,0.0,45,DEF,1,,0.0,0,0.0,0.0,0.7578843
Pep,Guardiola,0,0,36,0,0,0.0,0.0,0,0,181.0,0.0,0,0,0,8.3,15,AM,1,,0.0,0,3.5,0.0,29.814058
Omar,Marmoush,4,1,38,474,9,141.9,171.0,123,6,2.0,43.6,2,0,0,13.1,73,FWD,1,,5.4,0,4.2,2.03,75.87422
Nico,González,0,0,12,391,4,44.9,48.4,25,0,282.0,11.5,3,0,1,0.0,60,MID,1,,2.4,0,2.2,0.53,52.39345
Claudio,Echeverri,0,0,0,0,0,0.0,0.0,0,0,4.0,0.0,0,0,0,0.0,60,MID,1,,0.0,0,0.0,0.0,0.7578843
